trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2790301,27741,27772,41241,1,0,0
2790524,64044,64075,41241,1,0,0
2790829,36985,37009,41241,1,0,0
2791005,54441,54441,41241,1,0,0
2791040,49373,49373,41241,1,0,0
2791204,61812,61812,41241,1,0,0
2791845,77537,77563,41241,1,0,0
2791910,70324,70350,41241,1,0,0
2792201,25269,25300,41241,1,0,0
2792750,59276,59276,41241,1,0,0
2792978,30488,30511,41241,1,0,0
2793318,22903,22903,41241,1,0,0
2793544,81168,81168,41241,1,0,0
2793837,84787,84787,41241,1,0,0
2794616,52024,52047,41241,1,0,0
2790195,40800,40800,45051,3,0,0
2790195,40836,40839,41537,5,0,0
2790195,40854,40865,41539,6,0,0
2790195,40877,40901,46418,7,0,0
2790525,64207,64219,45053,1,0,0
2790525,64225,64238,45052,2,0,0
2790525,64254,64257,45051,3,0,0
2790525,64264,64271,45050,4,0,0
2790525,64278,64281,41537,5,0,0
2790525,64291,64301,41539,6,0,0
2790525,64313,64313,46418,7,0,0
2790830,37218,37218,45052,2,0,0
2790830,37237,37242,45051,3,0,0
2790830,37259,37264,45050,4,0,0
2790830,37278,37281,41537,5,0,0
2790830,37293,37302,41539,6,0,0
2790830,37316,37316,46418,7,0,0
2791006,54610,54631,45053,1,0,0
2791006,54640,54657,45052,2,0,0
2791006,54664,54668,45051,3,0,0
2791006,54675,54691,45050,4,0,0
2791006,54704,54707,41537,5,0,0
2791006,54716,54716,46418,7,0,0
2791041,49517,49527,45053,1,0,0
2791041,49528,49528,45052,2,0,0
2791041,49545,49548,45051,3,0,0
2791041,49574,49574,45050,4,0,0
2791041,49578,49581,41537,5,0,0
2791041,49620,49636,41539,6,0,0
2791041,49647,49679,46418,7,0,0
2791846,77718,77723,45053,1,0,0
2791846,77732,77742,45052,2,0,0
2791846,77752,77755,45051,3,0,0
2791846,77761,77764,45050,4,0,0
2791846,77781,77785,41537,5,0,0
2791846,77801,77812,41539,6,0,0
2791846,77825,77849,46418,7,0,0
2791911,70513,70513,45052,2,0,0
2791911,70528,70528,45051,3,0,0
2791911,70564,70571,45050,4,0,0
2791911,70578,70581,41537,5,0,0
2791911,70596,70606,41539,6,0,0
2791911,70616,70616,46418,7,0,0
2792202,25478,25490,45053,1,0,0
2792202,25495,25514,45052,2,0,0
2792202,25516,25519,45051,3,0,0
2792202,25531,25534,45050,4,0,0
2792202,25549,25552,41537,5,0,0
2792202,25566,25576,41539,6,0,0
2792202,25587,25587,46418,7,0,0
2793319,23107,23119,45053,1,0,0
2793319,23125,23125,45052,2,0,0
2793319,23136,23140,45051,3,0,0
2793319,23147,23163,45050,4,0,0
2793319,23178,23181,41537,5,0,0
2793319,23193,23202,41539,6,0,0
2793319,23216,23216,46418,7,0,0
2793545,81323,81323,45053,1,0,0
2793545,81330,81343,45052,2,0,0
2793545,81349,81352,45051,3,0,0
2793545,81369,81376,45050,4,0,0
2793545,81383,81386,41537,5,0,0
2793545,81401,81411,41539,6,0,0
2793545,81421,81421,46418,7,0,0
2793730,43802,43815,45053,1,0,0
2793730,43825,43838,45052,2,0,0
2793730,43863,43866,45051,3,0,0
2793730,43871,43873,45050,4,0,0
2793730,43883,43886,41537,5,0,0
2793730,43896,43906,41539,6,0,0
2793730,43916,43916,46418,7,0,0
2793838,84943,84955,45053,1,0,0
2793838,84968,84976,45052,2,0,0
2793838,84984,84987,45051,3,0,0
2793838,84994,84997,45050,4,0,0
2793838,85011,85014,41537,5,0,0
2793838,85028,85035,41539,6,0,0
2793838,85052,85052,46418,7,0,0
2794260,56733,56733,45053,1,0,0
2794260,56747,56760,45052,2,0,0
2794260,56797,56800,45051,3,0,0
2794260,56805,56808,45050,4,0,0
2794260,56818,56821,41537,5,0,0
2794260,56834,56842,41539,6,0,0
2794260,56852,56852,46418,7,0,0
2794537,74116,74128,45053,1,0,0
2794537,74132,74152,45052,2,0,0
2794537,74161,74165,45051,3,0,0
2794537,74173,74180,45050,4,0,0
2794537,74187,74190,41537,5,0,0
2794537,74202,74211,41539,6,0,0
2794537,74223,74226,46418,7,0,0
2790177,33038,33052,41216,1,0,0
2790177,33117,33132,41694,2,0,0
2790177,33151,33159,41698,3,0,0
2790177,33181,33197,41700,4,0,0
2790177,33226,33235,41702,5,0,0
2790177,33252,33264,41704,6,0,0
2790177,33281,33284,46272,7,0,0
2790177,33309,33319,46273,8,0,0
2790177,33336,33339,41165,9,0,0
2790177,33352,33355,41162,10,0,0
2790177,33367,33376,41160,11,0,0
2790177,33419,33430,41158,12,0,0
2790177,33431,33434,43264,13,0,0
2790177,33444,33447,41156,14,0,0
2790177,33457,33465,41204,15,0,0
2790177,33482,33485,41202,16,0,0
2790177,33499,33502,41192,17,0,0
2790177,33539,33554,41200,19,0,0
2790177,33644,33660,43039,20,0,0
2790177,33686,33727,43041,21,0,0
2790177,33747,33766,43044,22,0,0
2790177,33779,33793,43046,23,0,0
2790177,33812,33826,43049,24,0,0
2790177,33852,33880,43052,25,0,0
2790177,33931,33931,43054,26,0,0
2790177,33936,33939,42076,27,0,0
2790177,33966,33966,42097,28,0,0
2790177,34027,34027,42119,29,0,0
2790177,34036,34036,42006,30,0,0
2790177,34044,34057,45046,31,0,0
2790177,34067,34071,42028,32,0,0
2790177,34097,34111,42050,33,0,0
2790177,34149,34152,42053,34,0,0
2790177,34181,34187,42058,36,0,0
2790177,34266,34279,41894,38,0,0
2790357,25008,25017,41216,1,0,0
2790357,25079,25092,41694,2,0,0
2790357,25114,25126,41698,3,0,0
2790357,25148,25164,41700,4,0,0
2790357,25206,25215,41702,5,0,0
2790357,25219,25231,41704,6,0,0
2790357,25265,25268,46272,7,0,0
2790357,25276,25286,46273,8,0,0
2790357,25327,25333,41162,10,0,0
2790357,25350,25362,41160,11,0,0
2790357,25386,25397,41158,12,0,0
2790357,25409,25415,43264,13,0,0
2790357,25451,25460,41204,15,0,0
2790357,25541,25544,41202,16,0,0
2790357,25562,25565,41192,17,0,0
2790357,25574,25590,41167,18,0,0
2790357,25611,25679,41200,19,0,0
2790357,25757,25834,43039,20,0,0
2790357,25860,25907,43041,21,0,0
2790357,26019,26065,43052,25,0,0
2790357,26090,26093,43054,26,0,0
2790357,26117,26140,42076,27,0,0
2790357,26155,26175,42097,28,0,0
2790357,26303,26308,42028,32,0,0
2790357,26417,26432,42056,35,0,0
2790672,47490,47502,41216,1,0,0
2790672,47558,47558,41694,2,0,0
2790672,47600,47612,41698,3,0,0
2790672,47630,47647,41700,4,0,0
2790672,47672,47684,41702,5,0,0
2790672,47714,47724,41704,6,0,0
2790672,47738,47746,46272,7,0,0
2790672,47775,47785,46273,8,0,0
2790672,47807,47810,41165,9,0,0
2790672,47824,47842,41162,10,0,0
2790672,47857,47867,41160,11,0,0
2790672,47893,47903,41158,12,0,0
2790672,47919,47919,43264,13,0,0
2790672,47930,47934,41156,14,0,0
2790672,47958,47967,41204,15,0,0
2790672,47981,47984,41192,17,0,0
2790672,48011,48025,41167,18,0,0
2790672,48052,48079,41200,19,0,0
2790672,48157,48184,43039,20,0,0
2790672,48232,48238,43041,21,0,0
2790672,48256,48259,43044,22,0,0
2790672,48273,48285,43046,23,0,0
2790672,48301,48301,43049,24,0,0
2790672,48305,48333,43052,25,0,0
2790672,48364,48364,43054,26,0,0
2790672,48384,48392,42076,27,0,0
2790672,48452,48457,42097,28,0,0
2790672,48457,48466,42006,30,0,0
2790672,48520,48524,42028,32,0,0
2790672,48598,48618,42050,33,0,0
2790672,48651,48654,42053,34,0,0
2790672,48673,48677,42056,35,0,0
2790672,48686,48706,42058,36,0,0
2790672,48730,48733,41419,37,0,0
2790672,48829,48847,41894,38,0,0
2790699,49376,49388,41216,1,0,0
2790699,49435,49440,41694,2,0,0
2790699,49458,49467,41698,3,0,0
2790699,49488,49497,41700,4,0,0
2790699,49517,49529,41702,5,0,0
2790699,49550,49558,41704,6,0,0
2790699,49590,49598,46273,8,0,0
2790699,49618,49620,41165,9,0,0
2790699,49643,49651,41160,11,0,0
2790699,49675,49688,41158,12,0,0
2790699,49701,49704,43264,13,0,0
2790699,49712,49714,41156,14,0,0
2790699,49823,49832,41204,15,0,0
2790699,49938,49943,43041,21,0,0
2790699,49961,49963,43044,22,0,0
2790699,49993,50005,43046,23,0,0
2790699,50029,50041,43049,24,0,0
2790699,50057,50059,43052,25,0,0
2790699,50080,50114,43054,26,0,0
2790699,50140,50152,42076,27,0,0
2790699,50165,50170,42097,28,0,0
2790699,50223,50227,42006,30,0,0
2790699,50383,50396,45046,31,0,0
2790699,50496,50507,42053,34,0,0
2790699,50572,50587,42056,35,0,0
2790699,50595,50605,42058,36,0,0
2790699,50868,50871,41896,39,0,0
2790703,54707,54717,41216,1,0,0
2790703,54782,54786,41694,2,0,0
2790703,54807,54816,41698,3,0,0
2790703,54850,54866,41700,4,0,0
2790703,54888,54900,41702,5,0,0
2790703,54912,54922,41704,6,0,0
2790703,54936,54939,46272,7,0,0
2790703,54962,54971,46273,8,0,0
2790703,54995,54998,41165,9,0,0
2790703,55011,55013,41162,10,0,0
2790703,55052,55052,41160,11,0,0
2790703,55064,55073,41158,12,0,0
2790703,55111,55111,43264,13,0,0
2790703,55116,55131,41156,14,0,0
2790703,55144,55159,41204,15,0,0
2790703,55176,55179,41202,16,0,0
2790703,55192,55196,41192,17,0,0
2790703,55227,55227,41167,18,0,0
2790703,55229,55263,41200,19,0,0
2790703,55341,55359,43039,20,0,0
2790703,55400,55413,43041,21,0,0
2790703,55432,55437,43044,22,0,0
2790703,55448,55457,43046,23,0,0
2790703,55481,55495,43049,24,0,0
2790703,55521,55549,43052,25,0,0
2790703,55573,55576,42076,27,0,0
2790703,55588,55591,42097,28,0,0
2790703,55643,55655,42006,30,0,0
2790703,55694,55697,42028,32,0,0
2790703,55716,55725,42050,33,0,0
2790703,55760,55773,42053,34,0,0
2790703,55796,55814,42056,35,0,0
2790703,55824,55846,42058,36,0,0
2790703,55871,55874,41419,37,0,0
2790703,56128,56156,41894,38,0,0
2790703,56186,56201,41896,39,0,0
2791002,38403,38408,41216,1,0,0
2791002,38467,38472,41694,2,0,0
2791002,38490,38497,41698,3,0,0
2791002,38522,38555,41700,4,0,0
2791002,38581,38588,41702,5,0,0
2791002,38609,38616,41704,6,0,0
2791002,38633,38645,46272,7,0,0
2791002,38667,38676,46273,8,0,0
2791002,38702,38705,41165,9,0,0
2791002,38719,38722,41162,10,0,0
2791002,38760,38772,41160,11,0,0
2791002,38774,38788,41158,12,0,0
2791002,38804,38820,43264,13,0,0
2791002,38831,38834,41156,14,0,0
2791002,38845,38851,41204,15,0,0
2791002,38870,38888,41202,16,0,0
2791002,38899,38899,41192,17,0,0
2791002,38935,38935,41167,18,0,0
2791002,38938,38938,41200,19,0,0
2791002,39081,39108,43039,20,0,0
2791002,39114,39132,43041,21,0,0
2791002,39149,39149,43044,22,0,0
2791002,39174,39174,43046,23,0,0
2791002,39200,39200,43049,24,0,0
