route_id,stop_id,sequence,distance,count
31S,41033,1,0.284,31
31S,42572,2,0.406,31
31S,46623,3,0.643,31
31S,46507,4,0.85,31
31S,42570,5,1.074,31
31S,46398,6,1.257,31
31S,43163,7,1.447,31
31S,43171,8,1.624,31
31S,43169,9,2.086,31
31S,43167,10,2.197,31
31S,43165,11,2.392,31
31S,41117,12,2.731,31
31S,41115,13,2.879,31
31S,41113,14,3.14,31
31S,41209,15,3.313,31
31S,41082,16,3.577,31
31S,41883,17,3.952,31
31S,41881,18,4.342,31
31S,41879,19,4.53,31
31S,41877,20,4.735,31
31S,41874,21,4.894,31
31S,41872,22,5.085,31
31S,41870,23,5.365,31
31S,41868,24,5.472,31
31S,41866,25,5.744,31
31S,41863,26,6.007,31
31S,41861,27,6.422,31
31S,41859,28,6.624,31
31S,41857,29,6.881,31
31S,41855,30,7.177,31
31S,41853,31,7.475,31
31S,41851,32,7.818,31
31S,41850,33,8.079,31
31S,41847,34,8.5,31
31S,41845,35,8.66,31
31S,41843,36,8.94,31
31S,41835,37,9.15,31
31S,41838,38,9.5,31
31S,41836,39,9.692,31
31S,41840,40,9.846,31
31S,41832,41,10.141,31
31S,41830,42,10.257,31
31S,41827,43,10.9,31
31S,41825,44,11.144,31
31S,41823,45,11.4,31
31S,41821,46,11.617,31
31S,41819,47,11.842,31
31S,41815,48,12.076,31
31S,41816,49,12.326,31
31S,41812,50,12.561,31
31S,41810,51,12.789,31
31S,41808,52,13.089,31
31S,41806,53,13.24,31
31S,41803,54,13.52,31
31S,41801,55,13.745,31
31S,41799,56,13.988,31
31S,41797,57,14.26,31
31S,41795,58,14.498,31
31S,41876,59,14.781,31
31S,46423,60,15.009,31
42O,41273,1,0.172,53
42O,42445,2,0.302,58
42O,42446,3,0.438,59
42O,42013,4,0.567,59
42O,42448,5,0.902,60
42O,42460,6,1.108,60
42O,42458,7,1.322,60
42O,42456,8,1.517,60
42O,42453,9,1.681,60
42O,42449,10,1.832,60
42O,45059,11,2.103,60
42O,42450,12,2.312,60
42O,45061,13,2.517,60
42O,45062,14,2.79,60
42O,42182,15,3.085,60
42O,42183,16,3.28,60
42O,42185,17,3.399,60
42O,42177,18,3.566,60
42O,42175,19,3.72,60
42O,42410,20,3.95,60
42O,42419,21,4.174,60
42O,42417,22,4.331,60
42O,42415,23,4.556,60
42O,42413,24,4.779,60
42O,42011,25,4.982,60
42O,42009,26,5.206,60
42O,42007,27,5.383,60
42O,42004,28,5.829,60
42O,42002,29,6.08,60
42O,42000,30,6.212,60
42O,41998,31,6.42,60
42O,41995,32,6.86,60
42O,41993,33,7.157,60
42O,41991,34,7.339,60
42O,41989,35,7.638,60
42O,41987,36,7.855,60
42O,42139,37,8.174,60
42O,42137,38,8.45,60
42O,42135,39,8.955,60
42O,42133,40,9.718,60
42O,42131,41,10.181,60
42O,42128,42,10.422,60
42O,42126,43,10.74,60
42O,42124,44,11.059,60
42O,42122,45,11.365,60
42O,42120,46,11.645,60
42O,42117,47,12.133,60
42O,42115,48,12.36,60
42O,42113,49,12.632,60
42O,42111,50,12.817,60
42O,42109,51,13.096,60
42O,42106,52,13.43,60
42O,42104,53,13.638,60
42O,42102,54,13.791,60
42O,41394,55,14.095,60
42O,41392,56,14.273,60
42O,41389,57,14.628,60
42O,41387,58,14.837,60
42O,41385,59,15.111,60
42O,41383,60,15.355,60
42O,41381,61,15.527,60
42O,41378,62,15.727,60
42O,41376,63,15.88,60
42O,41374,64,16.127,60
42O,41371,65,16.416,60
42O,41368,66,16.64,60
42O,41366,67,16.86,60
42O,41364,68,17.106,60
42O,41362,69,17.308,60
42O,41358,70,17.804,60
42O,41356,71,18.1,60
42O,41354,72,18.247,60
42O,41352,73,18.374,60
42O,41349,74,18.617,60
42O,41347,75,18.869,60
42O,41345,76,19.079,60
42O,41343,77,19.254,60
42O,41340,78,19.444,60
42O,41337,79,19.668,60
42O,41335,80,19.839,60
42O,41333,81,20.104,60
42O,41328,82,20.286,60
42O,41326,83,20.584,60
42O,41324,84,20.784,60
42O,41322,85,20.978,60
42O,41391,86,21.372,60
42O,41370,87,21.576,60
42O,41351,88,21.728,60
42O,43510,89,22.053,60
42O,43506,90,22.224,60
42O,43343,91,22.633,60
42O,43146,92,22.845,60
42O,41957,93,23.182,60
42O,41952,94,23.475,60
42O,42833,95,23.705,60
42O,42831,96,24.561,60
42O,42829,97,24.825,60
42O,41509,98,25.078,60
42O,45063,99,25.307,60
42O,41504,100,25.617,60
42O,41506,101,25.739,60
42O,43296,102,25.917,60
151S,41545,1,0.159,41
151S,41543,2,0.365,42
151S,41553,3,0.553,43
151S,41551,4,0.715,43
151S,41549,5,0.858,43
151S,41547,6,0.998,43
151S,43009,7,1.191,43
151S,43007,8,1.414,43
151S,43003,9,1.754,43
151S,43001,10,2.035,43
151S,43000,11,2.245,43
151S,42996,12,2.347,42
151S,46318,13,2.471,43
151S,46275,14,2.707,43
151S,46276,15,3.084,43
151S,46316,16,3.478,43
151S,41459,17,3.857,43
151S,41457,18,4.174,43
151S,46619,19,4.381,43
151S,41455,20,4.644,43
151S,46309,21,4.913,43
151S,41453,22,5.604,43
151S,43389,23,5.934,43
151S,41451,24,6.105,43
151S,41449,25,6.313,43
151S,41447,26,6.666,43
151S,46505,27,7.139,43
151S,41445,28,7.358,43
151S,46592,29,7.475,43
151S,41443,30,7.666,43
151S,41440,31,8.455,43
151S,41438,32,8.936,43
151S,41436,33,9.116,43
151S,41434,34,9.312,43
151S,41432,35,9.541,43
151S,41429,36,9.74,43
151S,41427,37,9.856,43
151S,41423,38,10.114,43
151S,41425,39,10.31,43
151S,41422,40,10.687,43
151S,41420,41,10.862,43
151S,41418,42,11.135,43
151S,41415,43,11.368,43
151S,41413,44,11.779,43
151S,41411,45,11.918,43
151S,41409,46,12.281,43
151S,41462,47,12.564,43
151S,41460,48,12.803,43
151S,41442,49,12.977,43
151S,41419,50,13.353,43
151S,41894,51,14.125,43
151S,41896,52,15.493,43
73S,46526,1,0.223,37
73S,46527,2,0.336,37
73S,41049,3,0.587,39
73S,41050,4,0.904,39
73S,42958,5,1.301,40
73S,42960,6,1.684,40
73S,43982,7,1.887,40
73S,42962,8,2.141,40
73S,42965,9,2.31,40
73S,42967,10,2.691,40
73S,42969,11,2.898,40
73S,42971,12,3.369,40
73S,42973,13,3.689,40
73S,42976,14,4.138,40
73S,42978,15,4.371,40
73S,42980,16,4.549,40
73S,42982,17,5.008,40
73S,46430,18,5.49,40
73S,46436,19,5.712,40
73S,46434,20,6.074,40
73S,46403,21,6.148,40
73S,42989,22,6.301,40
73S,42991,23,6.601,40
73S,42993,24,6.854,40
73S,42995,25,7.098,40
73S,42998,26,7.333,40
73S,42999,27,7.421,40
73S,43002,28,7.603,40
73S,43004,29,7.913,40
73S,43008,30,8.225,40
73S,42886,31,8.481,40
73S,42888,32,8.632,40
73S,42890,33,8.908,40
73S,42893,34,9.093,40
73S,42897,35,9.32,40
73S,42898,36,9.561,40
73S,42902,37,9.999,40
73S,42904,38,10.322,40
73S,42906,39,10.515,40
73S,42909,40,10.673,40
73S,42911,41,10.833,40
73S,46471,42,11.146,40
73S,41866,43,11.387,40
73S,41863,44,11.651,40
73S,41861,45,12.066,40
73S,41859,46,12.267,40
73S,41857,47,12.524,40
73S,41855,48,12.82,40
73S,41853,49,13.118,40
73S,41851,50,13.462,40
73S,41850,51,13.722,40
73S,41847,52,14.143,40
73S,41845,53,14.304,40
73S,41843,54,14.584,40
73S,41835,55,14.793,40
73S,41838,56,15.144,40
73S,41836,57,15.335,40
73S,41840,58,15.489,40
73S,41832,59,15.784,40
73S,41830,60,15.9,40
73S,41827,61,16.543,40
73S,41825,62,16.787,40
73S,41823,63,17.043,40
73S,41821,64,17.26,40
73S,41819,65,17.485,40
73S,41815,66,17.72,40
73S,41816,67,17.969,40
73S,41812,68,18.205,40
73S,41810,69,18.432,40
73S,41808,70,18.732,40
73S,41806,71,18.883,40
73S,41803,72,19.163,40
73S,41801,73,19.389,40
73S,41799,74,19.631,40
73S,41797,75,19.904,40
73S,41795,76,20.141,40
73S,41876,77,20.424,40
56E,41216,1,0.199,35
56E,42647,2,0.463,35
56E,42646,3,0.669,35
56E,42644,4,0.925,35
56E,42642,5,1.067,35
56E,42640,6,1.276,35
56E,42677,7,1.545,35
56E,46407,8,1.718,35
56E,42675,9,1.838,35
56E,43436,10,2.016,35
56E,46439,11,2.148,35
56E,42673,12,2.271,35
56E,42649,13,2.51,35
56E,41271,14,2.748,35
56E,42823,15,2.902,35
56E,42430,16,3.916,35
56E,42827,17,4.16,35
56E,42848,18,4.274,35
56E,42874,19,4.499,35
56E,42878,20,4.619,35
56E,42883,21,4.978,35
56E,42801,22,5.194,35
56E,46652,23,5.411,35
56E,46139,24,5.592,35
56E,46140,25,5.905,35
56E,41617,26,6.217,35
56E,46141,27,6.474,35
56E,46142,28,6.685,35
56E,46143,29,6.875,35
56E,46394,30,7.048,35
56E,42147,31,7.385,35
56E,42149,32,7.493,35
56E,41934,33,7.743,35
56E,41936,34,7.965,35
56E,46473,35,8.417,35
56E,43925,36,8.52,35
56E,43927,37,8.739,35
56E,43928,38,8.867,35
56E,43296,39,9.03,35
56E,46470,40,9.291,35
56E,44156,41,9.624,35
56E,41931,42,10.599,35
56E,46144,43,11.046,35
56E,46145,44,11.273,35
56E,41781,45,11.658,35
56E,42152,46,12.029,35
56E,42154,47,12.202,35
56E,42164,48,12.504,35
56E,42166,49,12.762,35
56E,42168,50,12.903,35
56E,42842,51,13.102,35
56E,41922,52,13.2,35
56E,41920,53,13.351,34
56E,41918,54,13.607,34
56E,41917,55,13.796,34
56E,41914,56,14.027,34
