route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2838679,12E,12
12E,Sem,2838861,12E,12
12E,Sem,2839280,12E,12
12E,Sem,2839382,12E,12
12E,Sem,2839587,12E,12
12E,Sem,2839798,12E,12
12E,Sem,2840075,12E,12
12E,Sem,2840462,12E,12
12E,Sem,2840519,12E,12
12E,Sem,2840775,12E,12
12E,Sem,2840950,12E,12
12E,Sem,2841328,12E,12
12E,Sem,2841428,12E,12
12E,Sem,2841522,12E,12
12E,Sem,2841609,12E,12
12E,Sem,2841638,12E,12
12E,Sem,2841722,12E,12
12E,Sem,2841765,12E,12
12E,Sem,2842049,12E,12
12E,Sem,2842271,12E,12
12E,Sem,2842834,12E,12
12O,Sem,2838680,12O,12
12O,Sem,2838862,12O,12
12O,Sem,2839281,12O,12
12O,Sem,2839383,12O,12
12O,Sem,2839588,12O,12
12O,Sem,2840076,12O,12
12O,Sem,2840463,12O,12
12O,Sem,2840520,12O,12
12O,Sem,2840776,12O,12
12O,Sem,2840951,12O,12
12O,Sem,2841329,12O,12
12O,Sem,2841429,12O,12
12O,Sem,2841523,12O,12
12O,Sem,2841610,12O,12
12O,Sem,2841639,12O,12
12O,Sem,2841723,12O,12
12O,Sem,2841766,12O,12
12O,Sem,2842050,12O,12
12O,Sem,2842272,12O,12
12O,Sem,2842835,12O,12
144E,Sem,2838628,144E,144
144E,Sem,2838662,144E,144
144E,Sem,2838672,144E,144
144E,Sem,2838785,144E,144
144E,Sem,2838789,144E,144
144E,Sem,2839084,144E,144
144E,Sem,2839245,144E,144
144E,Sem,2839249,144E,144
144E,Sem,2839334,144E,144
144E,Sem,2839584,144E,144
144E,Sem,2839886,144E,144
144E,Sem,2839946,144E,144
144E,Sem,2839950,144E,144
144E,Sem,2839976,144E,144
144E,Sem,2840103,144E,144
144E,Sem,2840297,144E,144
144E,Sem,2840343,144E,144
144E,Sem,2840683,144E,144
144E,Sem,2840706,144E,144
144E,Sem,2840771,144E,144
144E,Sem,2840918,144E,144
144E,Sem,2840994,144E,144
144E,Sem,2841084,144E,144
144E,Sem,2841593,144E,144
144E,Sem,2841602,144E,144
144E,Sem,2841756,144E,144
144E,Sem,2841824,144E,144
144E,Sem,2842156,144E,144
144E,Sem,2842160,144E,144
144E,Sem,2842219,144E,144
144E,Sem,2842225,144E,144
144E,Sem,2842344,144E,144
144E,Sem,2842414,144E,144
144E,Sem,2842513,144E,144
144E,Sem,2842553,144E,144
144E,Sem,2842557,144E,144
144E,Sem,2842711,144E,144
144E,Sem,2843006,144E,144
144O,Sem,2838538,144O,144
144O,Sem,2838661,144O,144
144O,Sem,2838788,144O,144
144O,Sem,2839039,144O,144
144O,Sem,2839105,144O,144
