trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,planned_arrival_time,planned_departure_time_from_origin
2843710,16279,16293,41033,1,0,0,0.284,16291,16260
2843710,16296,16308,42572,2,0,0,0.406,16305,16260
2843710,16321,16328,46623,3,0,0,0.643,16331,16260
2843710,16342,16345,46507,4,0,0,0.85,16353,16260
2843710,16367,16367,42570,5,0,0,1.074,16378,16260
2843710,16387,16387,46398,6,0,0,1.257,16398,16260
2843710,16408,16408,43163,7,0,0,1.447,16419,16260
2843710,16423,16436,43171,8,0,0,1.624,16438,16260
2843710,16470,16478,43169,9,0,0,2.086,16489,16260
2843710,16484,16487,43167,10,0,0,2.197,16501,16260
2843710,16501,16507,43165,11,0,0,2.392,16522,16260
2843710,16534,16536,41117,12,0,0,2.731,16559,16260
2843710,16546,16549,41115,13,0,0,2.879,16576,16260
2843710,16573,16581,41113,14,0,0,3.14,16604,16260
2843710,16595,16603,41209,15,0,0,3.313,16623,16260
2843710,16624,16626,41082,16,0,0,3.577,16652,16260
2843710,16669,16672,41883,17,0,0,3.952,16693,16260
2843710,16700,16720,41881,18,0,0,4.342,16736,16260
2843710,16735,16738,41879,19,0,0,4.53,16757,16260
2843710,16754,16775,41877,20,0,0,4.735,16779,16260
2843710,16785,16788,41874,21,0,0,4.894,16797,16260
2843710,16801,16822,41872,22,0,0,5.085,16818,16260
2843710,16848,16851,41870,23,0,0,5.365,16848,16260
2843710,16859,16879,41868,24,0,0,5.472,16860,16260
2843710,16901,16904,41866,25,0,0,5.744,16891,16260
2843710,16925,16928,41863,26,0,0,6.007,16921,16260
2843710,16959,16963,41861,27,0,0,6.422,16968,16260
2843710,16976,16979,41859,28,0,0,6.624,16992,16260
2843710,16996,16999,41857,29,0,0,6.881,17021,16260
2843710,17022,17042,41855,30,0,0,7.177,17055,16260
2843710,17066,17099,41853,31,0,0,7.475,17089,16260
2843710,17123,17126,41851,32,0,0,7.818,17128,16260
2843710,17145,17166,41850,33,0,0,8.079,17158,16260
2843710,17196,17200,41847,34,0,0,8.5,17206,16260
2843710,17212,17264,41845,35,0,0,8.66,17224,16260
2843710,17283,17286,41843,36,0,0,8.94,17256,16260
2843710,17299,17316,41835,37,0,0,9.15,17280,16260
2843710,17342,17358,41838,38,0,0,9.5,17323,16260
2843710,17373,17400,41836,39,0,0,9.692,17347,16260
2843710,17411,17444,41840,40,0,0,9.846,17366,16260
2843710,17499,17503,41832,41,0,0,10.141,17402,16260
2843710,17509,17533,41830,42,0,0,10.257,17416,16260
2843710,17604,17607,41827,43,0,0,10.9,17495,16260
2843710,17621,17624,41825,44,0,0,11.144,17525,16260
2843710,17637,17640,41823,45,0,0,11.4,17557,16260
2843710,17651,17654,41821,46,0,0,11.617,17584,16260
2843710,17665,17668,41819,47,0,0,11.842,17611,16260
2843710,17681,17701,41815,48,0,0,12.076,17640,16260
2843710,17716,17718,41816,49,0,0,12.326,17667,16260
