trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2852931,47773,47797,41241,1,0,0
2853092,51385,51407,41241,1,0,0
2853153,58542,58542,41241,1,0,0
2853327,44230,44252,41241,1,0,0
2853486,65811,65811,41241,1,0,0
2853520,80099,80121,41241,1,0,0
2853561,62170,62193,41241,1,0,0
2853646,54964,54995,41241,1,0,0
2853745,26159,26159,41241,1,0,0
2853761,72949,72972,41241,1,0,0
2853799,29824,29851,41241,1,0,0
2853819,76572,76572,41241,1,0,0
2854119,37089,37111,41241,1,0,0
2854310,69424,69424,41241,1,0,0
2854395,40512,40538,41241,1,0,0
2854511,83735,83757,41241,1,0,0
2855258,33455,33482,41241,1,0,0
2852932,47943,47965,45053,1,0,0
2852932,47974,47990,45052,2,0,0
2852932,47997,48001,45051,3,0,0
2852932,48006,48009,45050,4,0,0
2852932,48021,48025,41537,5,0,0
2852932,48038,48047,41539,6,0,0
2852932,48060,48060,46418,7,0,0
2853093,51541,51559,45053,1,0,0
2853093,51568,51592,45052,2,0,0
2853093,51600,51614,45051,3,0,0
2853093,51621,51624,45050,4,0,0
2853093,51636,51639,41537,5,0,0
2853093,51656,51666,41539,6,0,0
2853093,51677,51697,46418,7,0,0
2853154,58741,58754,45053,1,0,0
2853154,58763,58784,45052,2,0,0
2853154,58792,58795,45051,3,0,0
2853154,58801,58804,45050,4,0,0
2853154,58817,58820,41537,5,0,0
2853154,58833,58842,41539,6,0,0
2853154,58858,58889,46418,7,0,0
2853328,44372,44392,45053,1,0,0
2853328,44403,44440,45052,2,0,0
2853328,44448,44452,45051,3,0,0
2853328,44457,44460,45050,4,0,0
2853328,44473,44477,41537,5,0,0
2853328,44490,44499,41539,6,0,0
2853328,44512,44534,46418,7,0,0
2853487,65983,66002,45053,1,0,0
2853487,66015,66049,45052,2,0,0
2853487,66057,66060,45051,3,0,0
2853487,66068,66071,45050,4,0,0
2853487,66086,66089,41537,5,0,0
2853487,66104,66113,41539,6,0,0
2853487,66125,66151,46418,7,0,0
2853562,62341,62341,45051,3,0,0
2853562,62360,62364,45050,4,0,0
2853562,62376,62379,41537,5,0,0
2853562,62392,62402,41539,6,0,0
2853562,62416,62437,46418,7,0,0
2853647,55146,55156,45053,1,0,0
2853647,55160,55183,45052,2,0,0
2853647,55191,55195,45051,3,0,0
2853647,55202,55205,45050,4,0,0
2853647,55222,55227,41537,5,0,0
2853647,55242,55250,41539,6,0,0
2853647,55265,55293,46418,7,0,0
2853746,26385,26410,45052,2,0,0
2853746,26419,26422,45051,3,0,0
2853746,26430,26452,45050,4,0,0
2853746,26467,26470,41537,5,0,0
2853746,26482,26492,41539,6,0,0
2853746,26505,26529,46418,7,0,0
2853762,73145,73145,45051,3,0,0
2853762,73164,73169,45050,4,0,0
2853762,73178,73181,41537,5,0,0
2853762,73195,73207,41539,6,0,0
2853762,73218,73240,46418,7,0,0
2853800,29968,29990,45053,1,0,0
2853800,30000,30031,45052,2,0,0
2853800,30038,30041,45051,3,0,0
2853800,30047,30050,45050,4,0,0
2853800,30061,30064,41537,5,0,0
2853800,30078,30087,41539,6,0,0
2853800,30098,30101,46418,7,0,0
2853820,76763,76768,45053,1,0,0
2853820,76779,76792,45052,2,0,0
2853820,76800,76803,45051,3,0,0
2853820,76809,76812,45050,4,0,0
2853820,76826,76829,41537,5,0,0
2853820,76844,76853,41539,6,0,0
2853820,76871,76871,46418,7,0,0
2854120,37239,37271,45053,1,0,0
2854120,37281,37296,45052,2,0,0
2854120,37304,37307,45051,3,0,0
2854120,37312,37315,45050,4,0,0
2854120,37326,37329,41537,5,0,0
2854120,37340,37349,41539,6,0,0
2854120,37361,37382,46418,7,0,0
2854311,69598,69602,45053,1,0,0
2854311,69612,69636,45052,2,0,0
2854311,69643,69646,45051,3,0,0
2854311,69651,69654,45050,4,0,0
2854311,69666,69669,41537,5,0,0
2854311,69682,69702,41539,6,0,0
2854311,69714,69736,46418,7,0,0
2854396,40747,40754,41537,5,0,0
2854396,40766,40776,41539,6,0,0
2854396,40789,40793,46418,7,0,0
2855259,33630,33665,45053,1,0,0
2855259,33680,33724,45052,2,0,0
2855259,33732,33735,45051,3,0,0
2855259,33742,33746,45050,4,0,0
2855259,33759,33763,41537,5,0,0
2855259,33778,33801,41539,6,0,0
2855259,33816,33840,46418,7,0,0
2852890,69455,69464,41216,1,0,0
2852890,69512,69517,41694,2,0,0
2852890,69534,69542,41698,3,0,0
2852890,69564,69574,41700,4,0,0
2852890,69593,69601,41702,5,0,0
2852890,69624,69635,41704,6,0,0
2852890,69650,69653,46272,7,0,0
2852890,69678,69686,46273,8,0,0
2852890,69709,69712,41165,9,0,0
2852890,69726,69728,41162,10,0,0
2852890,69743,69751,41160,11,0,0
2852890,69779,69794,41158,12,0,0
2852890,69810,69813,43264,13,0,0
2852890,69824,69827,41156,14,0,0
2852890,69841,69847,41204,15,0,0
2852890,69864,69867,41202,16,0,0
2852890,69885,69902,41192,17,0,0
2852890,69911,69921,41167,18,0,0
2852890,69936,69954,41200,19,0,0
2852890,70038,70041,43039,20,0,0
2852890,70064,70086,43041,21,0,0
2852890,70102,70104,43044,22,0,0
2852890,70115,70123,43046,23,0,0
2852890,70134,70148,43049,24,0,0
2852890,70165,70189,43052,25,0,0
2852890,70210,70225,43054,26,0,0
2852890,70244,70247,42076,27,0,0
2852890,70267,70270,42097,28,0,0
2852890,70294,70300,42119,29,0,0
2852890,70315,70319,42006,30,0,0
2852890,70333,70340,45046,31,0,0
2852890,70353,70359,42028,32,0,0
2852890,70380,70388,42050,33,0,0
2852890,70414,70417,42053,34,0,0
2852890,70435,70439,42056,35,0,0
2852890,70450,70454,42058,36,0,0
2852890,70479,70481,41419,37,0,0
2852890,70539,70543,41894,38,0,0
2852890,70682,70698,41896,39,0,0
2852915,35062,35071,41216,1,0,0
2852915,35137,35144,41694,2,0,0
2852915,35166,35174,41698,3,0,0
2852915,35196,35211,41700,4,0,0
2852915,35230,35242,41702,5,0,0
2852915,35261,35270,41704,6,0,0
2852915,35281,35284,46272,7,0,0
2852915,35303,35315,46273,8,0,0
2852915,35336,35339,41165,9,0,0
2852915,35350,35365,41162,10,0,0
2852915,35379,35387,41160,11,0,0
2852915,35412,35422,41158,12,0,0
2852915,35435,35438,43264,13,0,0
2852915,35447,35451,41156,14,0,0
2852915,35461,35468,41204,15,0,0
2852915,35484,35487,41202,16,0,0
2852915,35500,35503,41192,17,0,0
2852915,35510,35529,41167,18,0,0
2852915,35542,35556,41200,19,0,0
2852915,35616,35633,43039,20,0,0
2852915,35657,35661,43041,21,0,0
2852915,35677,35693,43044,22,0,0
2852915,35704,35718,43046,23,0,0
2852915,35729,35754,43049,24,0,0
2852915,35771,35783,43052,25,0,0
2852915,35804,35820,43054,26,0,0
