stop_id,arrival_time,departure_time,min_departure_time,cumulative_distance,planned_arrival_time,planned_departure_time_from_origin,nb_to_board,nb_to_alight,skip_stop,speedup,boarded_passengers_ids,passengers_to_board_ids,boarding_passenger_ids,alighting_passenger_ids,alighting_passengers_ids
42474,53340,53361,,15.491,53330,50760,1,0,0,0,[],[],[],[],[]
42472,53380,53407,,15.711,53361,50760,1,1,0,0,[],[],[],[],[]
42425,53424,53427,,15.948,53395,50760,1,1,0,0,[],[],[],[],[]
42423,53439,53450,,16.13,53420,50760,1,1,0,0,[],[],[],[],[]
42421,53455,53458,,16.276,53441,50760,1,1,0,0,[],[],[],[],[]
41757,53493,53498,,16.609,53488,50760,1,1,0,0,[],[],[],[],[]
41755,53508,53514,,16.753,53509,50760,1,1,0,0,[],[],[],[],[]
42722,53538,53550,,17.047,53550,50760,1,1,0,0,[],[],[],[],[]
42720,53568,53580,,17.256,53580,50760,1,1,0,0,[],[],[],[],[]
42716,53595,53616,,17.452,53596,50760,1,1,0,0,[],[],[],[],[]
