stop_id,type,flow,bus,ad,time,out_degree,in_degree
-1,normal,0,-1,d,52217,2,0
0,normal,0,-1,a,0,0,53
43146,puit,0,-1,d,0,1,0
41957,puit,0,-1,d,0,1,0
41952,puit,0,-1,d,0,1,0
42833,puit,0,-1,d,0,1,0
43380,puit,0,-1,d,0,1,0
43381,puit,0,-1,d,0,1,0
43980,puit,0,-1,d,0,1,0
46530,puit,0,-1,d,0,1,0
43382,puit,0,-1,d,0,1,0
43383,puit,0,-1,d,0,1,0
44070,puit,0,-1,d,0,1,0
43295,puit,0,-1,d,0,1,0
43929,puit,0,-1,d,0,1,0
43930,puit,0,-1,d,0,1,0
43931,puit,0,-1,d,0,1,0
43932,puit,0,-1,d,0,1,0
41296,puit,0,-1,d,0,1,0
46332,puit,0,-1,d,0,1,0
46411,puit,0,-1,d,0,1,0
43933,puit,0,-1,d,0,1,0
43934,puit,0,-1,d,0,1,0
46501,puit,0,-1,d,0,1,0
46502,puit,0,-1,d,0,1,0
43935,puit,0,-1,d,0,1,0
43936,puit,0,-1,d,0,1,0
43938,puit,0,-1,d,0,1,0
41946,puit,0,-1,d,0,1,0
41948,puit,0,-1,d,0,1,0
46601,puit,0,-1,d,0,1,0
42246,puit,0,-1,d,0,1,0
42252,puit,0,-1,d,0,1,0
42250,puit,0,-1,d,0,1,0
42253,puit,0,-1,d,0,1,0
42255,puit,0,-1,d,0,1,0
42257,puit,0,-1,d,0,1,0
41644,puit,0,-1,d,0,1,0
42783,puit,0,-1,d,0,1,0
42781,puit,0,-1,d,0,1,0
42780,puit,0,-1,d,0,1,0
42778,puit,0,-1,d,0,1,0
0,normal,1,2890319,d,52218,1,1
43938,puit,0,2890319,a,52219,0,1
43938,normal,0,2890319,a,52226,2,1
43938,normal,0,2890319,d,52230,2,1
43938,normal,0,2890319,d,52274,1,2
43938,normal,1,2890319,d,52274,2,0
41946,puit,-1,2890319,a,52219,0,2
41946,normal,0,2890319,a,52285,2,1
41946,normal,0,2890319,d,52310,2,1
41946,normal,0,2890319,a,52329,2,1
41946,normal,0,2890319,d,52354,1,2
41946,normal,0,2890319,d,52320,2,2
41946,normal,1,2890319,d,52320,1,0
41948,puit,-1,2890319,a,52219,0,3
41948,normal,0,2890319,a,52327,2,1
41948,normal,0,2890319,d,52332,2,1
41948,normal,0,2890319,a,52371,2,1
41948,normal,0,2890319,d,52376,1,2
41948,normal,0,2890319,a,52337,2,1
41948,normal,0,2890319,d,52342,2,2
41948,normal,0,2890319,d,52347,2,2
41948,normal,1,2890319,d,52347,2,0
46601,puit,-1,2890319,a,52219,0,4
46601,normal,0,2890319,a,52364,2,1
46601,normal,0,2890319,d,52370,2,1
46601,normal,0,2890319,a,52408,2,1
46601,normal,0,2890319,d,52414,1,2
46601,normal,0,2890319,a,52374,2,1
46601,normal,0,2890319,d,52380,2,2
46601,normal,0,2890319,a,52379,2,1
46601,normal,0,2890319,d,52384,2,3
46601,normal,1,2890319,d,52384,2,0
42246,puit,0,2890319,a,52219,0,4
42246,normal,0,2890319,a,52385,2,1
42246,normal,0,2890319,d,52388,2,1
42246,normal,0,2890319,a,52429,2,1
42246,normal,0,2890319,d,52432,1,2
42246,normal,0,2890319,a,52395,2,1
42246,normal,0,2890319,d,52398,2,2
42246,normal,0,2890319,a,52399,2,1
42246,normal,0,2890319,d,52402,2,2
42246,normal,0,2890319,d,52416,2,2
42246,normal,1,2890319,d,52416,2,0
42252,puit,-1,2890319,a,52219,0,5
42252,normal,0,2890319,a,52401,2,1
42252,normal,0,2890319,d,52404,2,1
42252,normal,0,2890319,a,52445,2,1
42252,normal,0,2890319,d,52448,2,2
42252,normal,0,2890319,a,52411,2,1
42252,normal,0,2890319,d,52414,2,2
42252,normal,0,2890319,a,52415,2,1
42252,normal,0,2890319,d,52418,2,2
42252,normal,0,2890319,a,52429,2,1
42252,normal,0,2890319,d,52432,2,2
42252,normal,0,2890319,d,52449,1,2
42252,normal,2,2890319,d,52449,2,0
42250,puit,-1,2890319,a,52219,0,6
42250,normal,0,2890319,a,52419,2,1
42250,normal,0,2890319,d,52462,2,1
42250,normal,0,2890319,a,52463,2,1
42250,normal,0,2890319,d,52506,1,3
42250,normal,0,2890319,a,52429,2,1
42250,normal,0,2890319,d,52472,2,2
42250,normal,0,2890319,a,52433,2,1
42250,normal,0,2890319,d,52476,2,2
42250,normal,0,2890319,a,52447,2,1
42250,normal,0,2890319,d,52490,2,2
42250,normal,0,2890319,a,52464,2,1
42250,normal,0,2890319,d,52482,2,2
42250,normal,1,2890319,d,52482,1,0
42253,puit,-1,2890319,a,52219,0,6
42253,normal,0,2890319,a,52483,2,1
42253,normal,0,2890319,d,52508,2,1
42253,normal,0,2890319,a,52527,2,1
42253,normal,0,2890319,d,52552,1,2
42253,normal,0,2890319,a,52493,2,1
42253,normal,0,2890319,d,52518,2,2
42253,normal,0,2890319,a,52497,2,1
42253,normal,0,2890319,d,52522,2,2
42253,normal,0,2890319,a,52511,2,1
42253,normal,0,2890319,d,52536,2,2
42253,normal,0,2890319,a,52503,2,1
42253,normal,0,2890319,d,52528,2,2
42253,normal,0,2890319,d,52517,2,2
42253,normal,5,2890319,d,52517,1,0
42255,puit,-1,2890319,a,52219,0,7
42255,normal,0,2890319,a,52531,2,1
42255,normal,0,2890319,d,52546,2,1
42255,normal,0,2890319,a,52575,2,1
42255,normal,0,2890319,d,52590,1,2
42255,normal,0,2890319,a,52541,2,1
42255,normal,0,2890319,d,52556,2,2
42255,normal,0,2890319,a,52545,2,1
42255,normal,0,2890319,d,52560,2,2
42255,normal,0,2890319,a,52559,2,1
42255,normal,0,2890319,d,52574,2,2
42255,normal,0,2890319,a,52551,2,1
42255,normal,0,2890319,d,52566,2,2
42255,normal,0,2890319,a,52540,2,1
42255,normal,0,2890319,d,52554,2,2
42255,normal,0,2890319,d,52564,2,2
42255,normal,1,2890319,d,52564,2,0
42257,puit,-1,2890319,a,52219,0,8
42257,normal,0,2890319,a,52558,2,1
42257,normal,0,2890319,d,52568,2,1
42257,normal,0,2890319,a,52602,2,1
42257,normal,0,2890319,d,52612,1,2
42257,normal,0,2890319,a,52568,2,1
42257,normal,0,2890319,d,52578,2,2
42257,normal,0,2890319,a,52572,2,1
42257,normal,0,2890319,d,52582,2,2
42257,normal,0,2890319,a,52586,2,1
42257,normal,0,2890319,d,52596,2,2
42257,normal,0,2890319,a,52578,2,1
42257,normal,0,2890319,d,52588,2,2
42257,normal,0,2890319,a,52566,2,1
42257,normal,0,2890319,d,52576,2,2
42257,normal,0,2890319,a,52576,2,1
42257,normal,0,2890319,d,52586,2,2
42257,normal,0,2890319,d,52594,2,2
42257,normal,1,2890319,d,52594,2,0
41644,puit,-1,2890319,a,52219,0,9
41644,normal,0,2890319,a,52585,2,1
41644,normal,0,2890319,d,52590,2,1
41644,normal,0,2890319,a,52629,2,1
41644,normal,0,2890319,d,52634,1,2
41644,normal,0,2890319,a,52595,2,1
41644,normal,0,2890319,d,52600,2,2
41644,normal,0,2890319,a,52599,2,1
41644,normal,0,2890319,d,52604,2,2
41644,normal,0,2890319,a,52613,2,1
41644,normal,0,2890319,d,52618,2,2
41644,normal,0,2890319,a,52605,2,1
41644,normal,0,2890319,d,52610,2,2
41644,normal,0,2890319,a,52593,2,1
41644,normal,0,2890319,d,52598,2,2
41644,normal,0,2890319,a,52603,2,1
41644,normal,0,2890319,d,52608,2,2
41644,normal,0,2890319,a,52611,2,1
41644,normal,0,2890319,d,52616,2,2
41644,normal,0,2890319,d,52630,2,2
41644,normal,1,2890319,d,52630,2,0
42783,puit,-1,2890319,a,52219,0,10
42783,normal,0,2890319,a,52682,2,1
42783,normal,0,2890319,d,52698,2,2
42783,normal,0,2890319,a,52726,2,1
42783,normal,0,2890319,d,52742,1,2
42783,normal,0,2890319,a,52692,2,1
42783,normal,0,2890319,d,52708,2,2
42783,normal,0,2890319,a,52696,2,1
42783,normal,0,2890319,d,52712,2,2
42783,normal,0,2890319,a,52710,2,1
42783,normal,0,2890319,d,52726,2,2
42783,normal,0,2890319,a,52702,2,1
42783,normal,0,2890319,d,52718,2,2
