stop_id,type,flow,bus,ad,time,out_degree,in_degree
-1,normal,0,-1,d,53317,2,0
0,normal,0,-1,a,0,0,7
0,normal,1,2890319,d,53318,1,1
42716,transfer,-1,2890319,a,53857,0,2
42474,normal,0,2890319,a,53339,1,1
42474,normal,0,2890319,d,53360,1,2
42474,normal,0,2890319,d,53270,1,1
42474,normal,1,2890319,d,53270,1,0
42472,puit,-1,2890319,a,53319,0,1
42472,normal,0,2890319,a,53379,2,1
42472,normal,0,2890319,d,53406,1,2
42472,normal,0,2890319,d,53301,1,1
42472,normal,1,2890319,d,53301,1,0
42425,puit,-1,2890319,a,53319,0,1
42425,normal,0,2890319,a,53423,2,1
42425,normal,0,2890319,d,53426,1,2
42425,normal,0,2890319,d,53335,1,1
42425,normal,1,2890319,d,53335,1,0
42423,puit,-1,2890319,a,53319,0,1
42423,normal,0,2890319,a,53438,2,1
42423,normal,0,2890319,d,53450,1,2
42423,normal,0,2890319,d,53360,1,1
42423,normal,1,2890319,d,53360,1,0
42421,puit,-1,2890319,a,53319,0,1
42421,normal,0,2890319,a,53455,2,1
42421,normal,0,2890319,d,53458,1,2
42421,normal,0,2890319,d,53381,1,1
42421,normal,1,2890319,d,53381,1,0
41757,puit,-1,2890319,a,53319,0,1
41757,normal,0,2890319,a,53493,2,1
41757,normal,0,2890319,d,53498,1,2
41757,normal,0,2890319,d,53428,1,1
41757,normal,1,2890319,d,53428,1,0
41755,puit,-1,2890319,a,53319,0,1
41755,normal,0,2890319,a,53508,2,1
41755,normal,0,2890319,d,53514,1,2
41755,normal,0,2890319,d,53449,1,1
41755,normal,1,2890319,d,53449,1,0
42722,puit,-1,2890319,a,53319,0,1
42722,normal,0,2890319,a,53538,2,1
42722,normal,0,2890319,d,53550,1,2
42722,normal,0,2890319,d,53490,1,1
42722,normal,1,2890319,d,53490,1,0
42720,puit,-1,2890319,a,53319,0,1
42720,normal,0,2890319,a,53568,2,1
42720,normal,0,2890319,d,53580,2,2
42720,normal,0,2890319,d,53520,1,1
42720,normal,1,2890319,d,53520,1,0
42720,transfer,0,2890319,d,53826,1,2
42720,transfer,1,2890319,d,53826,2,0
42716,puit,-1,2890319,a,53319,0,2
42716,normal,0,2890319,a,53595,3,1
42716,normal,0,2890319,d,53616,1,1
42716,normal,0,2890319,a,53841,3,1
42716,normal,0,2890319,d,53862,1,1
42716,normal,0,2890319,d,53536,1,1
42716,normal,1,2890319,d,53536,2,0
42716,transfer,0,2890319,d,53848,1,1
42716,transfer,1,2890319,d,53848,2,0
0,normal,2,2889985,d,53287,1,1
43380,normal,0,2889985,a,53372,1,1
43380,normal,0,2889985,d,53378,1,1
43381,normal,0,2889985,a,53392,1,1
43381,normal,0,2889985,d,53396,1,1
43980,normal,0,2889985,a,53413,1,1
43980,normal,0,2889985,d,53420,1,1
46530,normal,0,2889985,a,53442,1,1
46530,normal,0,2889985,d,53446,1,1
43382,normal,0,2889985,a,53475,1,1
43382,normal,0,2889985,d,53480,1,1
43383,normal,0,2889985,a,53494,1,1
43383,normal,0,2889985,d,53504,1,1
44070,normal,0,2889985,a,53536,1,1
44070,normal,0,2889985,d,53584,1,1
43295,normal,0,2889985,a,53679,1,1
43295,normal,0,2889985,d,53694,1,1
43929,normal,0,2889985,a,53730,1,1
43929,normal,0,2889985,d,53748,1,1
43930,normal,0,2889985,a,53763,1,1
43930,normal,0,2889985,d,53768,1,1
43931,normal,0,2889985,a,53775,1,1
43931,normal,0,2889985,d,53778,1,1
