stop_id,type,flow,bus,ad,time,out_degree,in_degree
-1,normal,0,-1,d,52217,2,0
0,normal,0,-1,a,0,0,51
43146,puit,0,-1,d,0,1,0
41957,puit,0,-1,d,0,1,0
41952,puit,0,-1,d,0,1,0
42833,puit,0,-1,d,0,1,0
43380,puit,0,-1,d,0,1,0
43381,puit,0,-1,d,0,1,0
43980,puit,0,-1,d,0,1,0
46530,puit,0,-1,d,0,1,0
43382,puit,0,-1,d,0,1,0
43383,puit,0,-1,d,0,1,0
44070,puit,0,-1,d,0,1,0
43295,puit,0,-1,d,0,1,0
43929,puit,0,-1,d,0,1,0
43930,puit,0,-1,d,0,1,0
43931,puit,0,-1,d,0,1,0
43932,puit,0,-1,d,0,1,0
41296,puit,0,-1,d,0,1,0
46332,puit,0,-1,d,0,1,0
46411,puit,0,-1,d,0,1,0
43933,puit,0,-1,d,0,1,0
43934,puit,0,-1,d,0,1,0
46501,puit,0,-1,d,0,1,0
46502,puit,0,-1,d,0,1,0
43935,puit,0,-1,d,0,1,0
43936,puit,0,-1,d,0,1,0
43938,puit,0,-1,d,0,1,0
41946,puit,0,-1,d,0,1,0
41948,puit,0,-1,d,0,1,0
46601,puit,0,-1,d,0,1,0
42246,puit,0,-1,d,0,1,0
42252,puit,0,-1,d,0,1,0
42250,puit,0,-1,d,0,1,0
42253,puit,0,-1,d,0,1,0
42255,puit,0,-1,d,0,1,0
42257,puit,0,-1,d,0,1,0
41644,puit,0,-1,d,0,1,0
42783,puit,0,-1,d,0,1,0
42781,puit,0,-1,d,0,1,0
42780,puit,0,-1,d,0,1,0
42778,puit,0,-1,d,0,1,0
0,normal,1,2890319,d,52218,1,1
43938,puit,0,2890319,a,52219,0,1
43938,normal,0,2890319,a,52234,2,1
43938,normal,0,2890319,d,52238,2,1
43938,normal,0,2890319,d,52274,1,2
43938,normal,1,2890319,d,52274,2,0
41946,puit,-1,2890319,a,52219,0,2
41946,normal,0,2890319,a,52293,2,1
41946,normal,0,2890319,d,52344,2,1
41946,normal,0,2890319,a,52329,2,1
41946,normal,0,2890319,d,52380,1,2
41946,normal,0,2890319,d,52320,0,1
41946,normal,1,2890319,d,52320,1,0
41948,puit,-1,2890319,a,52219,0,2
41948,normal,0,2890319,a,52355,2,1
41948,normal,0,2890319,d,52360,2,1
41948,normal,0,2890319,a,52391,2,1
41948,normal,0,2890319,d,52396,1,2
41948,normal,0,2890319,d,52347,0,1
41948,normal,1,2890319,d,52347,1,0
46601,puit,-1,2890319,a,52219,0,2
46601,normal,0,2890319,a,52378,2,1
46601,normal,0,2890319,d,52384,1,2
46601,normal,0,2890319,a,52414,2,1
46601,normal,0,2890319,d,52420,1,1
46601,normal,1,2890319,d,52384,1,0
42246,puit,0,2890319,a,52219,0,2
42246,normal,0,2890319,a,52400,2,1
42246,normal,0,2890319,d,52404,2,1
42246,normal,0,2890319,a,52436,2,1
42246,normal,0,2890319,d,52440,1,1
42246,normal,0,2890319,d,52416,1,2
42246,normal,1,2890319,d,52416,1,0
42252,puit,-1,2890319,a,52219,0,3
42252,normal,0,2890319,a,52415,2,1
42252,normal,0,2890319,d,52418,2,1
42252,normal,0,2890319,a,52451,2,1
42252,normal,0,2890319,d,52454,1,1
42252,normal,0,2890319,a,52427,2,1
42252,normal,0,2890319,d,52430,2,2
42252,normal,0,2890319,d,52449,1,2
42252,normal,2,2890319,d,52449,2,0
42250,puit,-1,2890319,a,52219,0,4
42250,normal,0,2890319,a,52433,2,1
42250,normal,0,2890319,d,52436,2,1
42250,normal,0,2890319,a,52469,2,1
42250,normal,0,2890319,d,52472,2,2
42250,normal,0,2890319,a,52445,2,1
42250,normal,0,2890319,d,52448,2,2
42250,normal,0,2890319,a,52464,2,1
42250,normal,0,2890319,d,52468,2,2
42250,normal,0,2890319,d,52482,1,2
42250,normal,1,2890319,d,52482,2,0
42253,puit,-1,2890319,a,52219,0,5
42253,normal,0,2890319,a,52457,2,1
42253,normal,0,2890319,d,52506,2,1
42253,normal,0,2890319,a,52493,2,1
42253,normal,0,2890319,d,52542,2,2
42253,normal,0,2890319,a,52469,2,1
42253,normal,0,2890319,d,52518,2,1
42253,normal,0,2890319,a,52489,2,1
42253,normal,0,2890319,d,52538,2,2
42253,normal,0,2890319,a,52503,2,1
42253,normal,0,2890319,d,52552,1,2
42253,normal,0,2890319,d,52517,1,2
42253,normal,6,2890319,d,52517,1,0
42255,puit,-1,2890319,a,52219,0,6
42255,normal,0,2890319,a,52528,2,1
42255,normal,0,2890319,d,52546,2,1
42255,normal,0,2890319,a,52564,1,1
42255,normal,0,2890319,d,52582,2,1
42255,normal,0,2890319,a,52540,2,1
42255,normal,0,2890319,d,52558,2,2
42255,normal,0,2890319,a,52560,2,1
42255,normal,0,2890319,d,52578,2,1
42255,normal,0,2890319,a,52574,2,1
42255,normal,0,2890319,d,52592,1,2
42255,normal,0,2890319,a,52539,2,1
42255,normal,0,2890319,d,52556,2,2
42255,normal,0,2890319,d,52564,1,2
42255,normal,2,2890319,d,52564,2,0
42257,puit,-1,2890319,a,52219,0,7
42257,normal,0,2890319,a,52562,2,1
42257,normal,0,2890319,d,52588,2,1
42257,normal,0,2890319,a,52598,2,1
42257,normal,0,2890319,d,52624,2,2
42257,normal,0,2890319,a,52574,2,1
42257,normal,0,2890319,d,52600,2,2
42257,normal,0,2890319,a,52594,1,1
42257,normal,0,2890319,d,52620,2,1
42257,normal,0,2890319,a,52608,2,1
42257,normal,0,2890319,d,52634,1,2
42257,normal,0,2890319,a,52572,2,1
42257,normal,0,2890319,d,52598,2,1
42257,normal,0,2890319,a,52580,2,1
42257,normal,0,2890319,d,52606,2,2
42257,normal,0,2890319,d,52594,1,2
42257,normal,1,2890319,d,52594,1,0
41644,puit,-1,2890319,a,52219,0,8
41644,normal,0,2890319,a,52605,2,1
41644,normal,0,2890319,d,52618,2,1
41644,normal,0,2890319,a,52641,2,1
41644,normal,0,2890319,d,52654,2,2
41644,normal,0,2890319,a,52617,2,1
41644,normal,0,2890319,d,52630,1,3
41644,normal,0,2890319,a,52637,2,1
41644,normal,0,2890319,d,52650,2,2
41644,normal,0,2890319,a,52651,2,1
41644,normal,0,2890319,d,52664,1,2
41644,normal,0,2890319,a,52615,2,1
41644,normal,0,2890319,d,52628,2,2
41644,normal,0,2890319,a,52623,2,1
41644,normal,0,2890319,d,52636,2,1
41644,normal,0,2890319,a,52611,2,1
41644,normal,0,2890319,d,52624,2,2
41644,normal,1,2890319,d,52630,2,0
42783,puit,-1,2890319,a,52219,0,8
42783,normal,0,2890319,a,52710,2,1
42783,normal,0,2890319,d,52712,2,1
42783,normal,0,2890319,a,52746,2,1
42783,normal,0,2890319,d,52748,2,2
42783,normal,0,2890319,a,52722,2,1
42783,normal,0,2890319,d,52724,2,2
42783,normal,0,2890319,a,52742,2,1
42783,normal,0,2890319,d,52744,2,2
42783,normal,0,2890319,a,52756,2,1
42783,normal,0,2890319,d,52758,1,2
42783,normal,0,2890319,a,52720,2,1
42783,normal,0,2890319,d,52722,2,2
42783,normal,0,2890319,a,52728,2,1
42783,normal,0,2890319,d,52730,2,2
42783,normal,0,2890319,a,52716,2,1
42783,normal,0,2890319,d,52718,2,2
42783,normal,0,2890319,d,52674,0,1
42783,normal,1,2890319,d,52674,1,0
42781,puit,0,2890319,a,52219,0,8
42781,normal,0,2890319,a,52906,2,1
42781,normal,0,2890319,d,52910,2,1
42781,normal,0,2890319,a,52942,2,1
42781,normal,0,2890319,d,52946,2,2
42781,normal,0,2890319,a,52918,2,1
42781,normal,0,2890319,d,52922,2,2
42781,normal,0,2890319,a,52938,2,1
42781,normal,0,2890319,d,52942,2,2
42781,normal,0,2890319,a,52952,2,1
42781,normal,0,2890319,d,52956,1,2
42781,normal,0,2890319,a,52916,2,1
42781,normal,0,2890319,d,52920,2,2
42781,normal,0,2890319,a,52924,2,1
42781,normal,0,2890319,d,52928,2,2
42781,normal,0,2890319,a,52912,2,1
42781,normal,0,2890319,d,52916,2,2
42781,normal,0,2890319,d,52741,0,1
42781,normal,1,2890319,d,52741,1,0
42780,puit,-1,2890319,a,52219,0,8
42780,normal,0,2890319,a,52924,2,1
42780,normal,0,2890319,d,52932,2,1
42780,normal,0,2890319,a,52960,2,1
42780,normal,0,2890319,d,52968,2,2
42780,normal,0,2890319,a,52936,2,1
42780,normal,0,2890319,d,52944,2,2
42780,normal,0,2890319,a,52956,2,1
42780,normal,0,2890319,d,52964,2,2
42780,normal,0,2890319,a,52970,2,1
42780,normal,0,2890319,d,52978,1,2
42780,normal,0,2890319,a,52934,2,1
42780,normal,0,2890319,d,52942,2,2
42780,normal,0,2890319,a,52942,2,1
42780,normal,0,2890319,d,52950,2,2
42780,normal,0,2890319,a,52930,2,1
42780,normal,0,2890319,d,52938,2,2
42780,normal,0,2890319,d,52765,0,1
42780,normal,1,2890319,d,52765,1,0
42778,puit,-1,2890319,a,52219,0,8
42778,normal,0,2890319,a,52947,2,1
42778,normal,0,2890319,d,52960,1,1
42778,normal,0,2890319,a,52983,2,1
42778,normal,0,2890319,d,52996,1,1
42778,normal,0,2890319,a,52959,2,1
42778,normal,0,2890319,d,52972,1,1
42778,normal,0,2890319,a,52979,2,1
42778,normal,0,2890319,d,52992,1,1
42778,normal,0,2890319,a,52993,2,1
42778,normal,0,2890319,d,53006,1,1
42778,normal,0,2890319,a,52957,2,1
42778,normal,0,2890319,d,52970,1,1
42778,normal,0,2890319,a,52965,2,1
42778,normal,0,2890319,d,52978,1,1
42778,normal,0,2890319,a,52953,2,1
42778,normal,0,2890319,d,52966,1,1
42778,normal,0,2890319,d,52795,1,1
42778,normal,1,2890319,d,52795,2,0
0,normal,0,2889985,d,53094,1,1
43146,puit,0,2889985,a,53095,0,1
43146,normal,0,2889985,a,53095,2,1
43146,normal,0,2889985,d,53104,1,1
41957,puit,0,2889985,a,53095,0,1
41957,normal,0,2889985,a,53138,2,1
41957,normal,0,2889985,d,53156,1,1
41952,puit,0,2889985,a,53095,0,1
41952,normal,0,2889985,a,53178,2,1
41952,normal,0,2889985,d,53184,1,1
42833,puit,0,2889985,a,53095,0,1
42833,normal,0,2889985,a,53233,2,1
42833,normal,0,2889985,d,53260,1,1
43380,puit,0,2889985,a,53095,0,1
43380,normal,0,2889985,a,53350,2,1
43380,normal,0,2889985,d,53354,1,1
43381,puit,0,2889985,a,53095,0,1
43381,normal,0,2889985,a,53363,2,1
43381,normal,0,2889985,d,53366,1,1
43980,puit,0,2889985,a,53095,0,1
43980,normal,0,2889985,a,53377,2,1
43980,normal,0,2889985,d,53392,1,1
46530,puit,0,2889985,a,53095,0,1
46530,normal,0,2889985,a,53410,2,1
46530,normal,0,2889985,d,53414,1,1
43382,puit,0,2889985,a,53095,0,1
43382,normal,0,2889985,a,53442,2,1
43382,normal,0,2889985,d,53448,1,1
43383,puit,0,2889985,a,53095,0,1
43383,normal,0,2889985,a,53465,2,1
43383,normal,0,2889985,d,53482,1,1
44070,puit,0,2889985,a,53095,0,1
44070,normal,0,2889985,a,53505,2,1
44070,normal,0,2889985,d,53548,1,1
43295,puit,0,2889985,a,53095,0,1
43295,normal,0,2889985,a,53628,2,1
43295,normal,0,2889985,d,53654,1,1
43929,puit,0,2889985,a,53095,0,1
43929,normal,0,2889985,a,53683,2,1
43929,normal,0,2889985,d,53708,1,1
43930,puit,0,2889985,a,53095,0,1
43930,normal,0,2889985,a,53723,2,1
43930,normal,0,2889985,d,53726,1,1
43931,puit,0,2889985,a,53095,0,1
43931,normal,0,2889985,a,53733,2,1
43931,normal,0,2889985,d,53746,1,1
43932,puit,0,2889985,a,53095,0,1
43932,normal,0,2889985,a,53790,2,1
43932,normal,0,2889985,d,53808,1,1
41296,puit,0,2889985,a,53095,0,1
41296,normal,0,2889985,a,53909,2,1
41296,normal,0,2889985,d,53924,1,1
46332,puit,0,2889985,a,53095,0,1
46332,normal,0,2889985,a,53958,2,1
46332,normal,0,2889985,d,53976,1,1
46411,puit,0,2889985,a,53095,0,1
46411,normal,0,2889985,a,53991,2,1
46411,normal,0,2889985,d,53994,1,1
43933,puit,0,2889985,a,53095,0,1
43933,normal,0,2889985,a,54003,2,1
43933,normal,0,2889985,d,54006,1,1
43934,puit,0,2889985,a,53095,0,1
43934,normal,0,2889985,a,54016,2,1
43934,normal,0,2889985,d,54092,1,1
46501,puit,0,2889985,a,53095,0,1
46501,normal,0,2889985,a,54125,2,1
46501,normal,0,2889985,d,54154,1,1
46502,puit,0,2889985,a,53095,0,1
46502,normal,0,2889985,a,54183,2,1
46502,normal,0,2889985,d,54206,1,1
43935,puit,0,2889985,a,53095,0,1
43935,normal,0,2889985,a,54235,2,1
43935,normal,0,2889985,d,54242,1,1
43936,puit,0,2889985,a,53095,0,1
43936,normal,0,2889985,a,54278,2,1
43936,normal,0,2889985,d,54282,1,1
43938,puit,0,2889985,a,53095,0,1
43938,normal,0,2889985,a,54294,2,1
43938,normal,0,2889985,d,54298,1,2
41946,puit,0,2889985,a,53095,0,1
41946,normal,0,2889985,a,54394,2,1
41946,normal,0,2889985,d,54416,1,1
41948,puit,0,2889985,a,53095,0,1
41948,normal,0,2889985,a,54425,2,1
41948,normal,0,2889985,d,54428,1,1
46601,puit,0,2889985,a,53095,0,1
46601,normal,0,2889985,a,54455,2,1
46601,normal,0,2889985,d,54474,1,1
42246,puit,0,2889985,a,53095,0,1
42246,normal,0,2889985,a,54489,2,1
42246,normal,0,2889985,d,54492,1,1
42252,puit,0,2889985,a,53095,0,1
42252,normal,0,2889985,a,54511,2,1
42252,normal,0,2889985,d,54514,1,2
42250,puit,0,2889985,a,53095,0,1
42250,normal,0,2889985,a,54525,2,1
42250,normal,0,2889985,d,54528,1,2
42253,puit,0,2889985,a,53095,0,1
42253,normal,0,2889985,a,54543,2,1
42253,normal,0,2889985,d,54638,1,1
42255,puit,0,2889985,a,53095,0,1
42255,normal,0,2889985,a,54661,2,1
42255,normal,0,2889985,d,54664,1,2
42257,puit,0,2889985,a,53095,0,1
42257,normal,0,2889985,a,54682,2,1
42257,normal,0,2889985,d,54696,1,1
41644,puit,0,2889985,a,53095,0,1
41644,normal,0,2889985,a,54713,2,1
41644,normal,0,2889985,d,54728,1,2
42783,puit,0,2889985,a,53095,0,1
42783,normal,0,2889985,a,54765,2,1
42783,normal,0,2889985,d,54768,1,1
42781,puit,0,2889985,a,53095,0,1
42781,normal,0,2889985,a,54822,2,1
42781,normal,0,2889985,d,54836,1,1
42780,puit,0,2889985,a,53095,0,1
42780,normal,0,2889985,a,54863,2,1
42780,normal,0,2889985,d,54882,1,1
42778,puit,0,2889985,a,53095,0,1
42778,normal,0,2889985,a,54900,2,1
42778,normal,0,2889985,d,54916,1,1
